input	output
tag: नरपुङ्गवः पाणिनिः व्याख्याति ।	नरपुङ्गवः|NOUN पाणिनिः|NOUN व्याख्याति|VERB ।|SYM
segment: प्रयोज्यत्वादेरनुपस्थिति	प्रयोज्यत्वादेः अनुपस्थिति
tag: तत्र रामः आगच्छति ।	तत्र|ADV रामः|NOUN आगच्छति|VERB ।|SYM
segment: करोत्यपाङ्गविक्षेपैः	करोति अपाङ्गविक्षेपैः
segment: युधिष्ठिरादयश्च	युधिष्ठिरादयः च
tag: यज्ञः शङ्खम् जगाद ।	यज्ञः|NOUN शङ्खम्|NOUN जगाद|VERB ।|SYM
segment: प्रतियोगिताकस्तथा	प्रतियोगिताकः तथा
segment: नाहं गन्तुं	न अहम् गन्तुम्
segment: निश्चितसाध्यवद्विपक्षयोरुभयेरपि	निश्चितसाध्यवद्विपक्षयोः उभयो अपि
segment: किमेतद्]	किम् एतत्]
segment: दुःखनिवृत्तिर्मुक्तिरित्याचार्याः	दुःखनिवृत्तिः मुक्तिः इति आचार्याः
segment: किमास्से	किम् आस्से
segment: तमेतं वेदानुवचनेन	तम् एतम् वेद अनुवचनेन
segment: भयाभिभूता	भया अभिभूताः
segment: अन्यथोदाहरणमपि	अन्यथा उदाहरणम् अपि
segment: युद्धेष्वनिवर्तिताशा	युद्धेषु अनिवर्तिताशा
segment: चैवं	च एवं
segment: तत्त्वज्ञानं	तत्त्वज्ञानम् विनापि
segment: किमिति	किम् इति
tag: मन्दम् हनुमान् निगच्छति ।	मन्दम्|ADV हनुमान्|NOUN निगच्छति|VERB ।|SYM
segment: बालो न	बालः न
segment: इत्याकारकं	इति आकारकम्
segment: वर्षतीवाञ्जनं नभः	वर्षति इव अञ्जनम् नभः
segment: वच्छिन्नस्यार्थ	वच्छिन्नस्य अर्थ
segment: व्यभिचारादावपि-क	व्यभिचारादौ अपि-क
segment: वृद्धं स्वपितरं	वृद्धम् स्वपितरम्
segment: वृद्धोऽप्यनाततवलीगुरुसंहतांसः	वृद्धः अपि अनाततवलीगुरुसंहतांसः
segment: काशीमरणादेर्हेतुत्वा	काशीमरणादेः हेतुत्वा
segment: चेष्टमेवैतदपरोक्षत्वस्वजातित्वमनभ्युपगच्छतामस्माकमिति	च एष्टम् एव एतत् अपरोक्षत्वस्वजातित्वमनभ्युपगच्छताम् अस्माकम् इति
segment: राहोर्वदनमण्डले	राहोः वदनमण्डले
segment: योऽत्र	यः अत्र
segment: तृणान्तराभिभाष्यो भवान्	तृणान्तराभिभाष्यः भवान्
segment: तावदवलोकयामि	तावत् अवलोकयामि
tag: मातृ अयोध्या भुङ्क्ते ।	मातृ|NOUN अयोध्या|NOUN भुङ्क्ते|VERB ।|SYM
segment: निरवच्छिन्नज्ञानत्वावच्छिन्नं प्रति	निरवच्छिन्नज्ञानत्वावच्छिन्नम् प्रति
segment: नमुचिर्येन	नमुचिः येन
segment: यो हि	यः हि
segment: एष भस्मीकरोम्यस्मत्	एषः भस्मीकरोमि अस्मत्
segment: प्रवादोपि	प्रवादः अपि
segment: ईश्वरविषयकं जीवात्मविषयकं	ईश्वरविषयकम् जीवात्मविषयकम्
tag: द्रुपदः स्मरति ।	द्रुपदः|NOUN स्मरति|VERB ।|SYM
segment: तत्पुरस्कारेणैवोक्तलक्षणगमनं	तत्पुरस्कारेण एव उक्तलक्षणगमनं
tag: यः कुर्वत ।	यः|PRON कुर्वत|VERB ।|SYM
segment: दौत्येनागतः	दौत्येन आगतः
segment: बलवीर्यज्ञा मया	बलवीर्यज्ञाः मया
segment: विरूध्यतेति	विरूध्यत इति
segment: नौर्विपन्ना	नौः विपन्ना
segment: प्रथमः---रावणमपि	प्रथमः---रावणम् अपि
segment: एतत्त्वादित्यादौ	एतत्त्वात् इत्यादौ
segment: भगवतो विपुलप्रसादा-	भगवतः विपुलप्रसादात्
tag: अत्र गंगा घोषयति ।	अत्र|ADV गंगा|NOUN घोषयति|VERB ।|SYM
tag: यः अशोकः संभवति ।	यः|PRON अशोकः|NOUN संभवति|VERB ।|SYM
segment: वयमपि	वयम् अपि
segment: एवमार्यमिश्रान्	एवम् आर्यमिश्रान्
segment: एवं शोचन्तमार्यपुत्रं	एवम् शोचन्तम् आर्यपुत्रम्
segment: स्वाचरणे	स्व आचरणे
segment: सुदर्शनः---कथं कथं	सुदर्शनः---कथम् कथम्
segment: पितामहमाह	पितामहम् आह
segment: .प्रतिबन्धकम्--तत्सामग्र्यपि-ख	.प्रतिबन्धकम्--तत्सामग्री अपि-ख
segment: शब्दत्वादेर्वृत्तिमत्त्वग्रहे	शब्दत्वादेः वृत्तिमत्त्वग्रहे
segment: मार्गं दातुमर्हति	मार्गम् दातुम् अर्हति
segment: सत्प्रति	सत् प्रति
segment: एतदेव	एतद् एव
segment: हरिरिव	हरिः इव
tag: उत्तमः ज्ञानम् विमृशति ।	उत्तमः|ADJ ज्ञानम्|NOUN विमृशति|VERB ।|SYM
segment: स किं	सः किं
segment: विरुद्धस्येति	विरुद्धस्य इति
segment: .एतत्पूर्वमपि	.एतत्पूर्वम् अपि
segment: धूमादावपीत्यत उक्तम्---सर्वेति	धूमादौ अपि इत्यतः उक्तम्---सर्वे इति
segment: भवेद् विफलश्रमः	भवेत् विफलश्रमः
segment: हरीणामधिपेन	हरीणाम् अधिपेन
segment: संग्रह इति	संग्रहः इति
segment: तज्ञानस्यानुमितिप्रतिबन्धकत्वादनुमितिप्रतिबन्धकतावच्छेदकरूप.सत्प्रतिपक्षत्वासाधारणत्वयोर्भावान्न	तत् ज्ञानस्य अनुमितिप्रतिबन्धकत्वात् अनुमितिप्रतिबन्धकतावच्छेदकरूपसत्प्रतिपक्षत्वासाधारणत्वयोः भावात् न
segment: केनचिद् वानरेण	केनचित् वानरेण
segment: यावदपसर्पामि	यावद् अपसर्पामि
segment: पुनर्भवतो भविष्यति	पुनः भवतः भविष्यति
segment: स्यादिति	स्यात् इति
segment: शूरश्च	शूरः च
segment: तत्त्वज्ञानजन्यतानुपपत्तेश्च	तत्त्वज्ञानजन्यतानुपपत्तेः च
segment: ब्रह्मणो रूपमित्यस्यापि	ब्रह्मणः रूपम् इति अस्य अपि
segment: हेत्वाभासतोपाधित्वमस्तु	हेत्वाभासतोपाधित्वम् अस्तु
segment: मेऽद्य	मे अद्य
segment: स एव	सः एव
segment: लक्ष्मणः---जयत्वार्यः	लक्ष्मणः---जयतु आर्यः
segment: विद्ब्रह्म	वित् ब्रह्म
segment: नित्यसुखज्ञानादन्यदलीकमिति	नित्यसुखज्ञानादन्यदलीकम् इति
segment: हेतुरित्येवोद्भाव्यत इत्यर्थः	हेतुः इति एव उद्भाव्यते इति अर्थः
segment: प्रतिष्ठित	प्रतिष्ठितम् इति अस्य अपि
segment: अतो दूरेऽवतिष्ठेत	अतः दूरे अवतिष्ठेत
segment: कर्तुमिच्छति	कर्तुम् इच्छति
segment: वत्सेनेन्द्रजिता	वत्सेन इन्द्रजिता
segment: तद्विषयीभूतस्यैव	तद्विषयीभूतस्य एव
segment: वासुदेवः---सर्वं गृह्णामि	वासुदेवः---सर्वम् गृह्णामि
segment: यद्यहं रावणं	यदि अहम् रावणम्
segment: किमिति	किम् इति
segment: कुशलमनामयं च	कुशलम् अनामयम् च
segment: एवं परस्परविरोधविवर्धनेन	एवम् परस्परविरोधविवर्धनेन
segment: तद्वत्त्वरूपं	तद्वत् तु अरूपं
segment: स रणे	सः रणे
segment: शब्द इव	शब्दः इव
segment: सत्यमेतत्	सत्यम् एतत्
tag: कस्मिंश्चित् ऋतुः ब्रवीमि ।	कस्मिंश्चित्|PRON ऋतुः|NOUN ब्रवीमि|VERB ।|SYM
segment: यथोक्ताः'	यथा उक्ताः'
segment: कथं वा	कथम् वा
segment: रूपेणान्यत्रेवात्रापि	रूपेण अन्यत्र एव अत्र अपि
segment: त्वरिततरहयं स्यन्दनं	त्वरिततरहयम् स्यन्दनम्
segment: दत्तं च	दत्तम् च
segment: आसातां भवन्तौ	आसाताम् भवन्तौ
segment: नैवाप्नोति	नैव आप्नोति
segment: प्रतिस्थापनानुमान	प्रतिस्थापन अनुमान
segment: स्वजननस्वरूपस्वो	स्वजननस्वरूपस्वः
segment: एकलव्यस्तयैवाभूत्	एकलव्यः तया एव अभूत्
segment: हितं पश्यामि	हितम् पश्यामि
segment: साम्प्रतं	साम्प्रतम्
tag: कुन्तिभोजः श्रावयामास ।	कुन्तिभोजः|NOUN श्रावयामास|VERB ।|SYM
tag: उच्चैः वचनम् शिक्षते ।	उच्चैः|ADV वचनम्|NOUN शिक्षते|VERB ।|SYM
segment: अस्तमितो भगवान्	अस्तम् इतः भगवान्
segment: किमर्थमिहागत इति	किम् अर्थम् इह आगतः इति
tag: धृतराष्ट्र फलम् ब्रवीमि ।	धृतराष्ट्र|NOUN फलम्|NOUN ब्रवीमि|VERB ।|SYM
segment: प्रस्थितो नागकेतुः	प्रस्थितः नागकेतुः
segment: तस्मादुभयं परिहृत्य	तस्मात् उभयम् परिहृत्य
segment: स क्षामवक्त्रं	सः क्षामवक्त्रम्
segment: मुनिशापमाप्तवान्	मुनिशापम् आप्तवान्
segment: ह्यत्रेव	हि अत्र एव
segment: व्याप्तिज्ञानेनैवान्यथासिद्धतया	व्याप्तिज्ञानेन एव अन्यथासिद्धतया
tag: स्थूलः सिंहः पिबति ।	स्थूलः|ADJ सिंहः|NOUN पिबति|VERB ।|SYM
segment: चतुर्थोऽङ्कः	चतुर्थः अङ्कः
segment: त्वेवं हि	तु एवम् हि
segment: श्रोतुमर्हति	श्रोतुम् अर्हति
segment: चेन्मैवम्	चेत् मा एवम्
segment: यथार्कः	यथा अर्कः
segment: सुरैरद्य	सुरैः अद्य
segment: चाद्वैतवादापत्तिः	च अद्वैतवाद आपत्तिः
segment: सुतेनाप्रतिमं हृतं	सुतेन अप्रतिमम् हृतम्
segment: सुखदुःखाभावान्यतरस्य	सुखदुःखाभाव अन्यतरस्य
tag: युधामन्युः भुङ्क्ते ।	युधामन्युः|NOUN भुङ्क्ते|VERB ।|SYM
tag: ऋषिकेशः काशी गच्छति ।	ऋषिकेशः|NOUN काशी|NOUN गच्छति|VERB ।|SYM
segment: .व्याप्तिरेव	.व्याप्तिः एव
tag: मनोहरः सेवायाम् स्मरति ।	मनोहरः|ADJ सेवायाम्|NOUN स्मरति|VERB ।|SYM
segment: महाराजायाङ्गेश्वराय	महाराजाय अङ्गेश्वराय
tag: पाणिनिः च रक्षकाः श्रावयामास ।	पाणिनिः|NOUN च|CONJ रक्षकाः|NOUN श्रावयामास|VERB ।|SYM
segment: दुःखं तद्ध्वंसत्वं	दुःखम् तत् ध्वंसत्वम्
segment: अलमलं विषादेन	अलम् अलम् विषादेन
segment: त्रिचरणातिक्रान्तत्रिलोको नारायणः	त्रिचरणातिक्रान्तत्रिलोकः नारायणः
segment: अतो नातिव्याप्तिरिति	अतः न अतिव्याप्तिः इति
segment: व्यभिचारज्ञानत्वेनैव	व्यभिचारज्ञानत्वेन एव
segment: तत्सामग्र्यपि	तत्सामग्री अपि
segment: निश्चित-साध्यवद्वृत्तित्वे	निश्चित-साध्यवत् वृत्तित्वे
segment: पाशैर्बध्नामि	पाशैः बध्नामि
segment: सुग्रीवः---यदाज्ञापयति	सुग्रीवः---यद् आज्ञापयति
segment: काञ्चुकीयः---यदाज्ञापयति	काञ्चुकीयः---यद् आज्ञापयति
segment: परमिच्छामि	परम् इच्छामि
segment: पतितं शिरः	पतितम् शिरः
segment: भ्रातार्जुनो मे	भ्राता अर्जुनः मे
segment: तमोऽङ्गानि	तमः अङ्गानि
segment: बहिर्वृत्तिश्चक्षुरादीन्द्रियसंबन्धोपि	बहिर्वृत्तिः चक्षुरादि इन्द्रियसंबन्धः अपि
tag: एतत् संभवति ।	एतत्|PRON संभवति|VERB ।|SYM
segment: को हि	कः हि
tag: चमूम् युद्धविशारदाः भुङ्क्ते ।	चमूम्|NOUN युद्धविशारदाः|ADJ भुङ्क्ते|VERB ।|SYM
segment: प्रवेश्यतां विभीषणः	प्रवेश्यताम् विभीषणः
segment: आवामार्यकुमुदस्य	आवाम् आर्यकुमुदस्य
segment: करोतीत्यादिकमपि	करोति इति आदिकम् अपि
segment: समाधेय इति	समाधेयः इति
segment: रावणस्याचिरेण	रावणस्य अचिरेण
segment: प्रायशिचत्तादौ	दुरितध्वंसम् उद्दिश्य
segment: वचनादिह	वचनात् इह
segment: तद् भवत्यच्छमेव	तत् भवति अच्छम् एव
segment: तत्त्वज्ञानम्	तत् त्व ज्ञानम्
segment: श्रोतव्यो जनार्दनसन्देशः	श्रोतव्यः जनार्दनसन्देशः
segment: पञ्चभिरुपाधिभिर्विभज्यन्त इत्याह----ते	पञ्चभिः उपाधिभिः विभज्यन्ते इति आह----ते
segment: प्रामाणिकगौरवस्यादोषत्वादिति	प्रामाणिकगौरवस्यादोषत्वात् इति
tag: असौ शास्त्रम् पश्यति ।	असौ|PRON शास्त्रम्|NOUN पश्यति|VERB ।|SYM
tag: विद्यालयः भीष्मम् रक्ष्यते ।	विद्यालयः|NOUN भीष्मम्|NOUN रक्ष्यते|VERB ।|SYM
segment: कनकरचितदण्डां शक्तिमुल्लालयन्तं	कनकरचितदण्डाम् शक्तिम् उल्लालयन्तम्
segment: कर्तुं जातस्य	कर्तुम् जातस्य
segment: प्रतिबन्धकत्वमिति	प्रतिबन्धकत्वम् इति
segment: नान्यः	न अन्यः
segment: व्यक्तं दैवगतिं	व्यक्तम् दैवगतिम्
tag: तत्तत् सत्त्वम् अभ्यहन्यन्त ।	तत्तत्|PRON सत्त्वम्|NOUN अभ्यहन्यन्त|VERB ।|SYM
tag: रूपम् द्वारम् निवेदयति ।	रूपम्|NOUN द्वारम्|NOUN निवेदयति|VERB ।|SYM
segment: वारिधारा वृषं	वारिधाराः वृषम्
tag: व्याघ्रः सूचयति ।	व्याघ्रः|NOUN सूचयति|VERB ।|SYM
segment: खल्वार्यपुत्रस्यागमनेन	खलु आर्यपुत्रस्य आगमनेन
segment: सूर्याविव	सूर्यौ इव
segment: तं हत्वा	तम् हत्वा
segment: नन्वज्ञानपदस्य	ननु अज्ञानपदस्य
segment: यतो दुःखवद्भिन्न	यतः दुःखवद्भिन्न
segment: मित्रातनयत्वादित्यत्र	मित्रातनयत्वात् इति अत्र
tag: द्रौपदेयाः राज्ञाम् प्रादुरासीत् ।	द्रौपदेयाः|NOUN राज्ञाम्|NOUN प्रादुरासीत्|VERB ।|SYM
segment: चिरं स्वैर्दुष्कृतैर्जीवितम्	चिरम् स्वैः दुष्कृतैः जीवितम्
tag: तुमुलः महेशः गायति ।	तुमुलः|ADJ महेशः|NOUN गायति|VERB ।|SYM
tag: समानः वाल्मीकिः शिक्षते ।	समानः|ADJ वाल्मीकिः|NOUN शिक्षते|VERB ।|SYM
segment: निवेद्यतां निवेद्यतां	निवेद्यताम् निवेद्यताम्
segment: साक्षादतिरिक्तविषयता	साक्षात् अतिरिक्तविषयता
segment: धूमविषयत्वेनैव	धूमविषयत्वेन एव
segment: पक्षीयव्यभिचारसंशयान्न	पक्षीयव्यभिचारसंशयात् न
segment: साक्षात्कारस्तत्त्वज्ञानपदार्थः	साक्षात्कारः तत्त्वज्ञानपदार्थः
segment: परार्थानुमाने	परार्थ अनुमाने
segment: प्रथमः---तदागम्यताम्	प्रथमः---तद् आगम्यताम्
segment: दुरूपवादमेवेति	दुरूपवादम् एव इति
segment: देहान्तरं गता	देहान्तरम् गता
segment: स्वयं नरपतिर्दत्तास्पदो	स्वयम् नरपतिः दत्तास्पदः
segment: तद्वारणार्थं घटदिवृत्तिलौकिकविषयतासंबन्धेन	तद्वारणार्थम् घटदिवृत्तिलौकिकविषयतासंबन्धेन
segment: तदप्रमत्ता भवन्तु	तद् अप्रमत्ताः भवन्तु
segment: गौरवाच्च	गौरवात् च
segment: ईश्वरस्यैकमेव	ईश्वरस्य एकम् एव
tag: धनवान् अर्जुनः कामयते ।	धनवान्|ADJ अर्जुनः|NOUN कामयते|VERB ।|SYM
segment: स्वैरं वा	स्वैरम् वा
segment: एष सहस्रहंसप्रयुक्तो	एषः सहस्रहंसप्रयुक्तः
segment: गर्वाद्धरिगणपरिवारो हाससम्फुल्लनेत्रः	गर्वात् हरिगणपरिवारः हाससम्फुल्लनेत्रः
segment: सुनिर्लज्जो वक्तुमिच्छसि	सुनिर्लज्जः वक्तुम् इच्छसि
segment: त्वद्वचोभिर्न	त्वद्वचोभिः न
segment: निदिध्यासितव्यश्चेति	निदिध्यासितव्यः च इति
segment: जन्यमिति	जन्यम् इति
segment: सुयोधनोऽयं स्वजनावमानं	सुयोधनः अयम् स्वजनावमानम्
segment: युक्तं राघवमेवं	युक्तम् राघवम् एवम्
segment: स्वच्छन्दमृत्युर्निहतो हि	स्वच्छन्दमृत्युः निहतः हि
segment: यावद् गच्छामि	यावत् गच्छामि
segment: दुर्योधनः---कथं कथम्	दुर्योधनः---कथम् कथम्
segment: किमिति	किम् इति
segment: ईदृशो लोकधर्मः	ईदृशः लोकधर्मः
tag: नहि मन्त्री अब्रवीत् ।	नहि|ADV मन्त्री|NOUN अब्रवीत्|VERB ।|SYM
segment: तादृशजातिसिद्धिरिति	तादृशजातिसिद्धिः इति
tag: प्रतापवान् पर्वतः चिन्तयति ।	प्रतापवान्|ADJ पर्वतः|NOUN चिन्तयति|VERB ।|SYM
segment: चैवं सति	च एवम् सति
segment: पूर्णेन्दुकुन्दकुमुदोदरहारगौरो	पूर्णेन्दुकुन्दकुमुदोदरहारगौरः
segment: राजानं दशरथं	राजानम् दशरथम्
segment: यद् रोचते	यत् रोचते
segment: वानरा आगताः	वानराः आगताः
segment: सन्दिधक्षुर्यथैव	सन्दिधक्षुः यथा एव
segment: विषयताप्रत्यासत्त्यैव	विषयताप्रत्यासत्त्या एव
tag: वेगवान् राज्ञाम् विमृशति ।	वेगवान्|ADJ राज्ञाम्|NOUN विमृशति|VERB ।|SYM
tag: कविर्मुनिः उवाच ।	कविर्मुनिः|NOUN उवाच|VERB ।|SYM
segment: नित्यं पुष्पफलाढ्यपादपयुता	नित्यम् पुष्पफलाढ्यपादपयुताः
segment: यतो जनः	यतः जनः
segment: कर्तव्यं रणशिरसि	कर्तव्यम् रणशिरसि
segment: राज्ञस्तस्य	राज्ञः तस्य
segment: हृतं यशः	हृतम् यशः
segment: महानुद्घोषः	महान् उद्घोषः
segment: जयद्रथो निहतः	जयद्रथः निहतः
segment: मुद्यत्प्रभावलयिनं परशुं	उद्यत्प्रभावलयिनम् परशुम्
segment: नरपतिर्दत्तास्पदो वीर्यवान्	नरपतिः दत्तास्पदः वीर्यवान्
tag: राजा च वाजश्रवाः ब्रवीमि ।	राजा|NOUN च|CONJ वाजश्रवाः|NOUN ब्रवीमि|VERB ।|SYM
segment: चेति	च इति
segment: प्रतिष्ठित	प्रतिष्ठितम् इति अस्य
segment: सत्प्रतिपक्षभेदो न	सत्प्रतिपक्षभेदः न
tag: फलम् उपदिशति ।	फलम्|NOUN उपदिशति|VERB ।|SYM
segment: स तु	सः तु
segment: स्वप्रकृतेस्त्यागं	स्वप्रकृतेः त्यागं
tag: चतुरः कमरबन्दः करोति ।	चतुरः|ADJ कमरबन्दः|NOUN करोति|VERB ।|SYM
tag: इयम् भाषते ।	इयम्|PRON भाषते|VERB ।|SYM
segment: अदण्ड्यो नैव	अदण्ड्यः न एव
segment: दृष्टा मया	दृष्टाः मया
segment: जातिस्तेजस्त्वादिना	जातिः तेजस्त्वादिना
segment: चितारोहणं चितारोहणम्	चितारोहणम् चितारोहणम्
segment: दैवगतिं गतेन	दैवगतिम् गतेन
tag: शुकं महतीम् समीक्षते ।	शुकं|NOUN महतीम्|ADJ समीक्षते|VERB ।|SYM
segment: तत्त्वमसि	तत्त्वम् असि
segment: छलयितुमक्रमेण	छलयितुम् अक्रमेण
segment: कल्पनीयमिति	कल्पनीयम् इति
segment: शङ्कुकर्णः---अनन्तरीयं बलमाज्ञापयितुमर्हति	शङ्कुकर्णः---अनन्तरीयम् बलम् आज्ञापयितुम् अर्हति
segment: तद्वदिदं	तद्वत् इदं
segment: सन्तो	सन्तः
segment: तदवच्छिन्नस्यापत्ति	तदवच्छिन्नस्य आपत्ति
tag: अत्र शूराः महेष्वासाः भीमार्जुनसमाः युधि । युयुधानः विराटः च द्रुपदः च महारथः ॥	अत्र|ADV शूराः|NOUN महेष्वासाः|ADJ भीमार्जुनसमाः|ADJ युधि|NOUN ।|SYM युयुधानः|NOUN विराटः|NOUN च|CONJ द्रुपदः|NOUN च|CONJ महारथः|NOUN ॥|SYM
segment: को भवान्	कः भवान्
segment: पुनर्वानराणाम्	पुनः वानराणाम्
tag: वाक्यम् राजा रक्ष्यते ।	वाक्यम्|NOUN राजा|NOUN रक्ष्यते|VERB ।|SYM
segment: पतितैरभिषेकतोयैः	पतितैः अभिषेकतोयैः
segment: वाऽराजा	वा अराजा
segment: राक्षसकुलं दृष्ट्वास्पदमलभमानौ	राक्षसकुलम् दृष्ट्वा आस्पदम् अलभमानौ
segment: .तद्विषयकत्वेन	.तत् विषयकत्वेन
segment: प्रारब्धकर्मणां न	प्रारब्धकर्मणाम् न
segment: [अनिष्टान्यनर्हाण्यनिमित्तानीदानीं कुर्वतो	[अनिष्टानि अनर्हाणि अनिमित्तानि इदानीम् कुर्वतः
segment: विद्यारक्षितमद्य	विद्यारक्षितम् अद्य
segment: प्रीतोऽस्मि	प्रीतः अस्मि
tag: द्वारम् जानाति ।	द्वारम्|NOUN जानाति|VERB ।|SYM
segment: रामः---सम्यगभिहितं लक्ष्मणेन	रामः---सम्यक् अभिहितम् लक्ष्मणेन
segment: ब्रह्मणो	ब्रह्मणः रूपम्
segment: चेन्नृपतित्वमाप्तुमचिरात्	चेत् नृपतित्वम् आप्तुम् अचिरात्
segment: नास्ति	न अस्ति
segment: स्यादिति	स्यात् इति
segment: पादपमूलमाश्रित्य	पादपमूलम् आश्रित्य
segment: तत्तत्पुरूषीयात्मनां	तत्तत् पुरुषीयात्मनाम्
segment: संभ्रान्तो भृत्यो	संभ्रान्तः भृत्यः
segment: समुत्पन्नो मारुतस्यौरसः	समुत्पन्नः मारुतस्य औरसः
segment: बाणैरङ्किता भूमिपालाः	बाणैः अङ्किताः भूमिपालाः
segment: दातव्यं न	दातव्यम् न
tag: एताः विमृशति ।	एताः|PRON विमृशति|VERB ।|SYM
segment: यद् उक्तवान्	यत् उक्तवान्
tag: भगवान् स्थापयति ।	भगवान्|NOUN स्थापयति|VERB ।|SYM
segment: पुष्पफलाढ्यपादपयुता देशाश्च	पुष्पफलाढ्यपादपयुताः देशाः च
segment: लक्ष्मीं जानीहि	लक्ष्मीम् जानीहि
segment: फलवृत्तित्वादिति	फलवृत्तित्वात् इति
segment: व्यभिचारादिति	व्यभिचारात् इति
segment: प्रशान्तरोषो भगवान्	प्रशान्तरोषः भगवान्
segment: द्रौपदीकेशघर्षणमत्रालिखितम्	द्रौपदीकेशघर्षणम् अत्र आलिखितम्
segment: भवत्येव	भवति एव
segment: चावश्यक्लृप्तेश्वर	च आवश्यक्लृप्तेश्वर
segment: सुतरां तदीयनित्य	सुतराम् तदीयनित्य
segment: तत्सन्देहे	तत् संदेहे
segment: स बालभावाददृष्टदोषः	सः बालभावात् अदृष्टदोषः
segment: नीचोऽहमेव	नीचः अहम् एव
segment: खल्वेतस्मिन्	खलु एतस्मिन्
segment: युक्तिकमेव	युक्तिकम् एव
tag: युयुधानः अप्रशस्तः दृश्यते ।	युयुधानः|NOUN अप्रशस्तः|ADJ दृश्यते|VERB ।|SYM
segment: धर्मराजवचनाद् धनञ्जयाकृत्रिममित्रतया	धर्मराजवचनात् धनञ्जयाकृत्रिममित्रतया
segment: कञ्चिद् दर्शयते	कञ्चित् दर्शयते
segment: सहकारिताभ्युपगमेनैव	सहकारिता अभ्युपगमेन एव
tag: यथाभागम् गुरुः ब्रवीमि ।	यथाभागम्|ADV गुरुः|NOUN ब्रवीमि|VERB ।|SYM
segment: एष खलु	एषः खलु
segment: कनकं ददामि	कनकम् ददामि
segment: इत्यादीना	इति आदीना
tag: सर्वः मूलम् मारयति ।	सर्वः|ADJ मूलम्|NOUN मारयति|VERB ।|SYM
tag: सः दिदृक्षते ।	सः|PRON दिदृक्षते|VERB ।|SYM
segment: .विशेषणमेव	.विशेषणम् एव
segment: कुरूणां	कुरूणाम्
segment: अयमार्यां	अयम् आर्यां
segment: येनाहं कृतमङ्गलप्रतिसरो	येन अहम् कृतमङ्गलप्रतिसरः
segment: नास्ति	न अस्ति
segment: पुनरम्बिकायाम्	पुनः अम्बिकायाम्
segment: विसंज्ञं	विसंज्ञम्
segment: योगक्षेमसाधारणं तज्जन्यत्वं	योगक्षेमसाधारणम् तज्जन्यत्वम्
tag: अन्यायः च कविर्मुनिः विमृशति ।	अन्यायः|NOUN च|CONJ कविर्मुनिः|NOUN विमृशति|VERB ।|SYM
segment: कस्यचिद् वस्तु	कस्यचित् वस्तु
segment: स्खलन्तो विवशास्तुरङ्गमाः	स्खलन्तः विवशाः तुरङ्गमाः
segment: कथं केशवं	कथम् केशवम्
segment: खल्वापः	खलु आपः
segment: तन्नोद्भाव्यते	तत् न उद्भाव्यते
segment: चारिभिरेतौ	चारिभिः एतौ
segment: देवं च	देवम् च
segment: सविषयकत्वमिति	सविषयकत्वम् इति
segment: वार्जुनसमीपे	वा अर्जुनसमीपे
segment: दुःखेनात्यन्तविमुक्तश्ररतीति"	दुःखेन अत्यन्तविमुक्तश्ररति इति"
segment: वक्तुकाममिव	वक्तुकामम् इव
segment: शासको गुणयुक्तश्चेत्	शासकः गुणयुक्तः चेत्
segment: सितनखदशनानां वारणानामनेकं	सितनखदशनानाम् वारणानाम् अनेकम्
segment: घटात्वादिमत्त्वमादाय	घटात्वादिमत्त्वम् आदाय
segment: आपस्तावत्	आपः तावत्
segment: व्यभिचारादिवद्धेत्वाभासान्तरतापत्तेः	व्यभिचारादिवत् हेत्वाभासान्तरतापत्तेः
segment: सुग्रीवः---सम्यगाह	सुग्रीवः---सम्यक् आह
segment: एष युधिष्ठिरः	एषः युधिष्ठिरः
segment: किं न	किम् न
tag: सहसा द्रुपदपुत्रेण संभवति ।	सहसा|ADV द्रुपदपुत्रेण|NOUN संभवति|VERB ।|SYM
segment: सलक्ष्मणेनाद्य	सलक्ष्मणेन अद्य
tag: कः निबोध ।	कः|PRON निबोध|VERB ।|SYM
segment: कनकरचितविद्रुमेन्द्रनीलैर्विकृतमहाद्रुमपङ्क्तिचित्रदेशा	कनकरचितविद्रुमेन्द्रनीलैः विकृतमहाद्रुमपङ्क्तिचित्रदेशा
segment: एवमाज्ञापयत्यार्यः	एवम् आज्ञापयति आर्यः
segment: बाधस्यैव-ख	बाधस्य एव-ख
segment: द्विधाभूत इव	द्विधाभूतः इव
segment: कृत्रिमतामुपाश्रयेत्	कृत्रिमताम् उपाश्रयेत्
segment: तादृशज्ञानस्याप्ययथार्थत्वेनाव्याप्तिर्वज्रलेपायितैव	तादृशज्ञानस्य अपि अयथार्थत्वेन अव्याप्तिः वज्रलेपायितः एव
segment: लिखत्यभिखं नयज्ञः	लिखति अभिखम् नयज्ञः
segment: सत्प्रतिपक्षविशेषतापत्तेश्च	सत्प्रतिपक्षविशेषतापत्तेः च
segment: स्वैर्दुष्कृतैर्जीवितम्	स्वैः दुष्कृतैः जीवितम्
segment: स्पृशधातोरूत्पत्तौ	स्पृशधातोः उत्पत्तौ
segment: प्रकृतयो भवन्तमुपस्थिताः	प्रकृतयः भवन्तम् उपस्थिताः
segment: नयनान्यालोक्य	नयनानि आलोक्य
segment: सुहृदश्च	सुहृदः च
segment: तस्माद् वयमप्येतेषामेतान्	तस्मात् वयम् अपि एतेषाम् एतान्
