input	output
segment: नीलः---यदाज्ञापयति	नीलः---यद् आज्ञापयति
segment: सुररिपोर्युधि	सुररिपोः युधि
segment: निवेशो न	निवेशः न
segment: शान्तिस्तथा	शान्तः तथा
segment: स्वचरितैर्दोषैर्गतः	स्वचरितैः दोषैः गतः
segment: दर्शनीयोऽयं चित्रपटः	दर्शनीयः अयम् चित्रपटः
segment: किञ्चिदाहारजातं सम्भावयामि	किञ्चिद् आहारजातम् सम्भावयामि
segment: कामं च	कामम् च
segment: तन्मतेपि	तन्मते अपि
segment: अन्वयव्यतिरेकाभ्यां कार्यत्वावच्छिन्नं	अन्वयव्यतिरेकाभ्याम् कार्यत्वावच्छिन्नम्
segment: भुक्तं क्षीयते	भुक्तम् क्षीयते
segment: क्षितित्वमत्र	क्षितित्वम् अत्र
segment: दुर्योधनः---कथं कथम्	दुर्योधनः---कथम् कथम्
segment: तस्मादमित्रविषयमस्या हृदयं	तस्माद् अमित्रविषयम् अस्याः हृदयम्
segment: य एषः	यः एषः
segment: गौरवस्यापि	गौरवस्य अपि
segment: अलमन्यशङ्कया	अलम् अन्यशङ्कया
segment: त्वमरविन्दपलाशनेत्रे	त्वम् अरविन्दपलाशनेत्रे
segment: स्याद्वाक्यमात्रेण	स्यात् वाक्यमात्रेण
segment: कोटावव्यवहितोत्तरत्व	कोटौ अव्यवहितोत्तरत्व
segment: सहर्षं	सहर्षम्
segment: तिष्ठेदानीम्	तिष्ठ इदानीम्
segment: शरीरैकत्वनिष्ठजातिविशेषं कल्पयित्वा	शरीरैकत्वनिष्ठजातिविशेषम् कल्पयित्वा
segment: भवन्तं पद्मपत्राक्षं	भवन्तम् पद्मपत्राक्षम्
segment: भयं त्यज	भयम् त्यज
segment: तत्कल्पनात्	तत् कल्पनात्
segment: दूषकत्वमिति	दूषकत्वम् इति
segment: गच्छाग्रतः	गच्छ अग्रतः
segment: किं श्रुतम्	किम् श्रुतम्
segment: सत्प्रतिपक्षितत्वविशिष्टमिति-ख	सत्प्रतिपक्षितत्वविशिष्टम् इति-ख
segment: चैवं	च एवं
segment: तत एतौ	ततः एतौ
segment: नमस्कारं कर्तुमर्हति	नमस्कारम् कर्तुम् अर्हति
segment: अक्षयोऽस्तु	अक्षयः अस्तु
segment: स मानुषः	सः मानुषः
segment: तादृशानुमितेरप्यपरोक्षत्वे	तादृश अनुमितेः अपि अपरोक्षत्वे
segment: हेतुत्वासंभवेन	अ
segment: प्रागुपपादितः	प्राक् उपपादितः
segment: प्रतिबन्धकत्वादिति	प्रतिबन्धकत्वात् इति
segment: .तत्सम्बन्धाभावसामानाधिकरण्यस्यावश्यं	.तत्सम्बन्धाभावसामानाधिकरण्यस्य अवश्यं
segment: सुहृदां शोककारणात्	सुहृदाम् शोककारणात्
segment: कृत्यभावादिति	कृत्यभावात् इति
segment: देहं	देहम्
segment: पर्याप्तं छिद्यतां	पर्याप्तम् छिद्यताम्
segment: किञ्चिद् हृदयप्रसादः	किञ्चित् हृदयप्रसादः
segment: वञ्चितस्त्वया	वञ्चितः त्वया
segment: वेत्यादयो बोध्याः	वा इति आदयः बोध्याः
segment: किन्तु तदुत्तरकाले	फलम् किन्तु
segment: कुर्यादिति	कुर्यात् इति
segment: पतितोऽत्रभवान्	पतितः अत्रभवान्
segment: जातिरिति	जातिः इति
segment: तं	तम्
segment: पुनश्च	पुनः च
segment: आश्चर्यमाश्चर्यम्	आश्चर्यम् आश्चर्यम्
segment: गुहां धर्षयितुं	गुहाम् धर्षयितुम्
segment: शङ्कुकर्णः---(पुरतो विलोक्य)	शङ्कुकर्णः---(पुरतः विलोक्य)
segment: मातलिं दृष्ट्वा	मातलिम् दृष्ट्वा
segment: .सहकृतैतदुपाधिमत्वमेव-ख	.सहकृतैतदुपाधिमत्वम् एव-ख
segment: चेन्न	चेत् न
segment: अस्तमितो भगवान्	अस्तम् इतः भगवान्
segment: तदाश्रयत्वेनेश्वरः	तदाश्रयत्वेन ईश्वरः
segment: योऽङ्के	यः अङ्के
segment: मामपि	माम् अपि
segment: दिदृक्षुरद्यारिमनार्यचेतसम्	दिदृक्षुः अद्य अरिम् अनार्यचेतसम्
segment: परिधर्षितोऽहम्	परिधर्षितः अहम्
segment: स्वनिलयमेव	स्वनिलयम् एव
segment: किमाहतुर्भवन्तौ	किम् आहतुः भवन्तौ
segment: शासनं यस्य	शासनम् यस्य
segment: खल्वापः	खलु आपः
segment: वृद्धराजस्वर इव	वृद्धराजस्वरः इव
segment: तत्कालीनो वा	तत्कालीनः वा
segment: तत्राव्याप्तिः	तत्र अव्याप्तिः
segment: सर्वमार्येण	सर्वम् आर्येण
segment: सम्बन्धस्तावदेव	सम्बन्धः तावत् एव
segment: निग्रहस्थानान्तरत्वाभावाच्चेति	निग्रहस्थानान्तरत्वाभावात् च इति
segment: नैयायिकानामपि	नैयायिकानाम् अपि
segment: तद् दलं	तत् दलं
segment: लिङ्गव्यत्यासकल्पनानौचित्यात्	न औचित्यात्
segment: व्यभिचारज्ञानत्वेनैव	व्यभिचारज्ञानत्वेन एव
segment: किमनुतिष्ठन्ति	किम् अनुतिष्ठन्ति
segment: युधिष्ठिरादयश्च	युधिष्ठिरादयः च
segment: कथं दायाद्यमिति	कथम् दायाद्यम् इति
segment: स्त्रीवधो न	स्त्रीवधः न
segment: बलवांश्चायमन्धकारः	बलवान् च अयम् अन्धकारः
segment: चापि	च अपि
segment: तस्येति	तस्य इति
segment: इन्द्रियत्वाभावात्	इन्द्रियत्व अभावात्
segment: अथवाज्ञाननिवृत्तिरेव	अथवा अज्ञाननिवृत्तिः एव
segment: भीष्माग्रहस्ताद्धृतम्	भीष्माग्रहस्तात् धृतम्
segment: इदानीन्तनदुःखध्वंसेतिव्याप्तिवारणाय	इदानीन्तनदुःखध्वंसे अतिव्याप्तिवारणाय
segment: राजन्यन्तः	राजनि अन्तः
segment: मुक्ता येन	मुक्ताः येन
segment: ज्ञानं च	ज्ञानम् च
segment: लक्ष्मणः---जयत्वार्यः	लक्ष्मणः---जयतु आर्यः
segment: प्रतिस्थापनानुमान	प्रतिस्थापन अनुमान
segment: स्वप्नो मया	स्वप्नः मया
segment: समरमधिगतार्थः	समरम् अधिगतार्थः
segment: यत्तु	यत् तु
segment: सुयोधनोऽयं स्वजनावमानं	सुयोधनः अयम् स्वजनावमानम्
segment: चानावृत्तापरोक्षविषयत्वम्	च अनावृत्तापरोक्षविषयत्वम्
segment: यथोक्ताः'	यथा उक्ताः'
segment: कार्यकारणबभावद्वयमिति	कार्यकारणभावद्वयम् इति
segment: ततो यान्ति	ततः यान्ति
segment: यावद्रथमारोहावः	यावत् रथम् आरोहावः
segment: नित्यत्वं लाघवादेव	नित्यत्वम् लाघवात् एव
segment: तादृशस्मृतेरस्वर	तादृशस्मृतेः अस्वर
segment: नास्ति	न अस्ति
segment: व्याजोपलब्धविफलास्त्रबलो घृणावान्	व्याजोपलब्धविफलास्त्रबलः घृणावान्
segment: नियामकत्वात्	बलत् द्वेषविषयाभावत्वस्य
segment: त्वं चित्रसेनेन	त्वम् चित्रसेनेन
segment: उभयव्यावृत्तत्वमेकत्र	उभयव्यावृत्तत्वम् एकत्र
segment: गतं तवासीत्	गतम् तव आसीत्
segment: तदिति	तत् इति
segment: नित्यसुखभेदस्यापि	नित्यसुखभेदस्य अपि
segment: इत्यर्थः	इति अर्थः
segment: करोतीत्यादिकमपि	करोति इति आदिकम् अपि
segment: भेर्यस्त्रिदिवसद्मनाम्	भेर्यः त्रिदिवसद्मनाम्
segment: शरीरप्रयत्नवदात्मसंयोगाद्यव्यवहितोत्तरोत्पन्नतत्तत्पदार्थक्रियां प्रति	शरीरप्रयत्नवत् आत्मसंयोगादि अव्यवहितोत्तर उत्पन्नतत्तत्पदार्थक्रियाम् प्रति
segment: तदसंग्राह्यमेवेति	तत् संग्राह्यम् एव इति
segment: शुभमतिं लङ्केश्वरं	शुभमतिम् लङ्केश्वरम्
segment: नोपदर्शितरीतेरावश्य	न उपदर्शितरीतेः आवश्य
segment: स प्रतिबन्धक	सः प्रतिबन्धकः
segment: वेत्यत्र	वेति अत्र
segment: चाव्यप्तम्	च अव्याप्तम्
segment: देवोऽवदति	देवः अवदति
segment: पतितं शिरः	पतितम् शिरः
segment: स्नेहाल्लुम्पति	स्नेहात् लुम्पति
segment: व्याप्तिसत्त्वादिति	व्याप्तिसत्त्वात् इति
segment: पक्षीयव्यभिचार.संदेहस्यापि	पक्षीयव्यभिचारसंदेहस्य अपि
segment: सलक्ष्मणेनाद्य	सलक्ष्मणेन अद्य
segment: राक्षसेभ्योऽपि	राक्षसेभ्यः अपि
segment: कृतकत्वादिहेतोर्हेत्वाभासत्वे	कृतकत्वादिहेतोः हेत्वाभासत्वे
segment: तत्रैव	तत्र एव
segment: सकलवानरकुलं ध्वंसयामि	सकलवानरकुलम् ध्वंसयामि
segment: स्यन्दनं वाहयन्तम्	स्यन्दनम् वाहयन्तम्
segment: दुःखनिवृत्तिर्मुक्तिरित्याचार्याः	दुःखनिवृत्तिः मुक्तिः इति आचार्याः
segment: कर्तुं निवारयति	कर्तुम् निवारयति
segment: लिखत्यभिखं नयज्ञः	लिखति अभिखम् नयज्ञः
segment: वच्छेदककोटावप्यव्यवहितोत्तरत्वं निवेशनीयमित्युभयत्राव्यहितोत्तरत्वानिवेशप्रयुक्तगौरवं	वच्छेदककोटौ अपि अव्यवहितोत्तरत्वम् निवेशनीयम् इति उभयत्रव्यहितोत्तरत्वानिवेशप्रयुक्तगौरवम्
segment: जातिस्तद्व्याप्यविरूद्धभेदेनापि	जातिः तद्व्याप्यविरूद्धभेदेन अपि
segment: .एकत्रानुकूलतर्कावतारे	.एकत्र अनुकूलतर्कावतारे
segment: अप्रमत्ता भवन्तु	अप्रमत्ताः भवन्तु
segment: रावणः---छिद्यतामेषा	रावणः---छिद्यताम् एषा
segment: नोपलक्षणम्	न उपलक्षणम्
segment: पक्षस्यापि	पक्षस्य अपि
segment: भगवांश्चक्रायुधः	भगवान् चक्रायुधः
segment: प्रेषितस्त्वद्विचित्यर्थं हनूमान्	प्रेषितः त्वत् विचित्यर्थम् हनूमान्
segment: ह्यनुजानात्	हि अनुजानात्
segment: पुनश्च	पुनः च
segment: एष दूतः	एषः दूतः
segment: .न्यूनत्वादेरेवोद्भावनमुचितं	.न्यूनत्वादेः एव उद्भावनम् उचितं
segment: अञ्जनायां समुत्पन्नो	अञ्जनायाम् समुत्पन्नः
segment: इदानीमपि	इदानीम् अपि
segment: देवासुरैरपि	देवासुरैः अपि
segment: चाज्ञायमानदशायां	च ज्ञायमानदशायां
segment: गम्भीरं भेर्यस्त्रिदिवसद्मनाम्	गम्भीरम् भेर्यः त्रिदिवसद्मनाम्
segment: रामायणमधीत्यापि	रामायणं अधीत्य अपि
segment: गजपतिमिव	गजपतिम् इव
segment: प्रहर्षात्कृतः	प्रहर्षात् कृतः
segment: सम्प्रत्यवन्त्वनिमिषा इह	सम्प्रति अवन्तु अनिमिषाः इह
segment: साम्प्रतमिति	साम्प्रतम् इति
segment: को वा	कः वा
segment: निपातितां दृष्ट्वा	निपातिताम् दृष्ट्वा
segment: पितृतां कथं	पितृताम् कथम्
segment: सोऽन्यापशकुनं	सः अन्यापशकुनं
segment: तृतीयोऽङ्कः	तृतीयः अङ्कः
segment: पुनस्तत्त्वज्ञाननिष्ठ	पुनः तत्त्वज्ञाननिष्ठ
segment: सुबद्धमूला निपतन्ति	सुबद्धमूलाः निपतन्ति
segment: धृतराष्ट्रः---कथमर्जुनोऽपि	धृतराष्ट्रः---कथम् अर्जुनः अपि
segment: शीघ्र-	शीघ्रम्
segment: एवमीश्वरज्ञानेच्छयोरपि	एवम् ईश्वरज्ञान इच्छयोः अपि
segment: मोक्षजनकीभूतज्ञानविषय	इति अर्थस्यः उपदर्शितश्रुत्या
segment: बलाहकानामिव	बलाहकानाम् इव
segment: प्रत्येव	प्रति एव
segment: दैत्याश्चापि	दैत्याः च अपि
segment: बालो न	बालः न
segment: दुःशासनो द्रौपदीं	दुःशासनः द्रौपदीम्
segment: निवृत्तिस्वीकारेनेह	निवृत्तिस्वीकारेन इह
segment: धर्षयितुं शक्तः	धर्षयितुम् शक्तः
segment: समुत्थितो ध्वनिः	समुत्थितः ध्वनिः
segment: पुत्रमङ्कस्थमश्रुभिः	पुत्रम् अङ्कस्थम् अश्रुभिः
segment: को नु	कः नु
segment: .अतोऽपि	.अतः अपि
segment: मुक्तेरभावे	मुक्तेः अभावे
segment: ज्ञेयो	ज्ञेयः
segment: मनुष्याणामस्त्येव	मनुष्याणाम् अस्ति एव
segment: प्रथमः---तदागम्यताम्	प्रथमः---तद् आगम्यताम्
segment: जननीवद् विमातापि	जननीवत् विमाता अपि
segment: मुक्तिं प्रति	मुक्तिम् प्रति
segment: श्वश्रूर्भूत्वा	श्वश्रूः भूत्वा
segment: प्रच्छन्नं तस्य	प्रच्छन्नम् तस्य
segment: पशुपकुलनिवासादानुजीव्यानभिज्ञः	पशुपकुलनिवासात् अनुजीव्यानभिज्ञः
segment: भुजबलयोगप्राप्तसंजातवेगं	भुजबलयोगप्राप्तसंजातवेगम्
segment: मलयानिला अपि	मलयानिलाः अपि
segment: किमाह	किम् आह
segment: उर्वश्यादयोऽप्सरसो मामभिगताः	उर्वश्यादयः अप्सरसः माम् अभिगताः
segment: मां दृष्ट्वा	माम् दृष्ट्वा
segment: खल्वार्यरामस्य	खलु आर्यरामस्य
segment: रावणः---कथं हता	रावणः---कथम् हताः
segment: नित्यसुखसाक्षात्कारस्य	च उपदर्शितश्रुत्या
segment: भीत इव	भीतः इव
segment: तावश्विसुतौ	तौ अश्विसुतौ
segment: पक्षस्यापि	पक्षस्य अपि
segment: कारणत्वासंभवेनाज्ञाननाशात्	कारणत्व असंभवेन अज्ञाननाशात्
segment: उक्तम्---सर्वेति	उक्तम्---सर्वे इति
segment: एवात्मवत्त्वविवेके	एव आत्मवत्त्वविवेके
segment: तत्पूर्वमपि	तत्पूर्वम् अपि
segment: यदनेन	यत् अनेन
segment: नापीति	न अपि इति
segment: नान्त्यः	न अन्त्यः
segment: यथेष्टं कर्तुमर्हति	यथेष्टम् कर्तुम् अर्हति
segment: साधारणत्वमस्येव	साधारणत्वम् अस्य एव
segment: द्रष्टुमाशया	द्रष्टुम् आशया
segment: भवन्तमनुप्राप्ता	भवन्तम् अनुप्राप्ता
segment: नेतुमागतः	नेतुम् आगतः
segment: पञ्चानां पाण्डवाग्नीनामात्मा	पञ्चानाम् पाण्डवाग्नीनाम् आत्मा
segment: वह्निव्यभिचरितत्वादिभ्रमविषयीभूतधूमादावतिव्याप्तिस्तदवस्थैव	वह्निव्यभिचरितत्वादिभ्रमविषयीभूतधूमादौ अतिव्याप्तिः तदवस्था एव
segment: विशेषणमेव	विशेषणम् एव
segment: कादाचित्को वा	कादाचित्कः वा
segment: तच्चापि	तत् च अपि
segment: गतोऽसि	गतः असि
segment: मह्यमीषन्मनोज्वरः	मह्यम् ईषत् मनोज्वरः
segment: यस्माज्जायते	यस्मात् जायते
segment: जानकीं पुरुषोत्तम	जानकीम् पुरुषोत्तम
segment: नन्वहमाज्ञप्ता	ननु अहम् आज्ञप्ता
segment: नित्यदोषेऽव्याप्तिरिति	नित्यदोषे अव्याप्तिः इति
segment: जीवनयोनियन्त्रवत्तादृश	जीवनयोनियन्त्रवत् तादृश
segment: किमेवमुचितं गतसार	किम् एवम् उचितम् गतसार
segment: विजातीयैकवत्त्वेन	विजातीय एकवत्त्वेन
segment: विरोधितयत्संग्रहार्थमुक्तोपाधेरवश्यमनुसरणीयत्वात्	विरोधितयत्संग्रहार्थम् उक्तोपाधेः अवश्यम् अनुसरणीयत्वात्
segment: बलवीर्यज्ञा मया	बलवीर्यज्ञाः मया
segment: ज्ञाननिवृत्तिस्वीकारेपि	ज्ञाननिवृत्तिस्वीकारे अपि
segment: भङ्गोऽस्तु	भङ्गः अस्तु
segment: तस्यानुमित्यनुकूलत्वेन	तस्य अनुमित्यनुकूलत्वेन
segment: काशीमरणादेर्हेतुत्वा	काशीमरणादेः हेतुत्वा
segment: दोषमपास्य	दोषम् अपास्य
segment: व्याप्तिग्रह इति	व्याप्तिग्रहः इति
segment: .चाप्तवाक्यादेवानित्यत्व-क	.च आप्तवाक्यात् एव अनित्यत्व-क
segment: हैडिम्बोऽस्मि	हैडिम्बः अस्मि
segment: शङ्कुकर्णः---श्रोतुमर्हति	शङ्कुकर्णः---श्रोतुम् अर्हति
segment: स्वैरं प्रविशन्तु	स्वैरम् प्रविशन्तु
segment: निपातनमभिमन्योश्च	निपातनम् अभिमन्योः च
segment: निर्युक्तिकत्वेनाश्रद्धेयत्वात्	निर्युक्तिकत्वेन अश्रद्धेयत्वात्
segment: दृष्टमिदं हि	दृष्टम् इदम् हि
segment: व्रतमुग्रचर्यं	व्रतम् उग्रचर्यम्
segment: (अधोऽवलोक्य)	(अधः अवलोक्य)
segment: तदिच्छाजनकत्वेन	तत् इच्छाजनकत्वेन
segment: मुहूर्तकं क्षीरं	मुहूर्तकम् क्षीरम्
segment: दृष्टा मया	दृष्टाः मया
segment: सकर्तृकं वा	सकर्तृकम् वा
segment: मद्वाक्याद् राज्यार्धं	मद्वाक्यात् राज्यार्धम्
segment: तत्सम्बन्धस्याकल्पनात्	तत्सम्बन्धस्य अकल्पनात्
segment: चादृष्टवदात्मसंयोगस्यैव	च अदृष्टवत् आत्मसंयोगस्य एव
segment: ज्येष्ठा लभ्याः	ज्येष्ठाः लभ्याः
segment: कथं बलवद्विग्रहो	कथम् बलवद्विग्रहः
segment: सम्बन्धमादाय-ख	सम्बन्धम् आदाय-ख
segment: श्रोतुं सखे	श्रोतुम् सखे
segment: तद्धनं	तत् धनं
segment: प्रमाणाभावादिति	प्रमाणाभावात् इति
segment: दुर्योधनः---संभ्रम इति	दुर्योधनः---संभ्रमः इति
segment: .व्यभिचारादावपि	.व्यभिचारादौ अपि
segment: वीराणां वधो	वीराणाम् वधः
segment: नैव	न एव
segment: पृथुसानुकुञ्जगहना मेघोपमाः	पृथुसानुकुञ्जगहनाः मेघोपमाः
segment: समवेतानुगुणत्वादित्यनुमानादीश्वरसिद्धौ	समवेतानुगुणत्वात् इति अनुमानात् ईश्वरसिद्धौ
segment: जाता	जाताः
segment: दुष्टान्तपक्षसाधारणस्वत्वस्यैकस्याभावात्	दुष्टान्तपक्षसाधारणस्वत्वस्य एकस्य अभावात्
segment: गुरूभक्ता न	गुरूभक्ताः न
segment: तदसंग्रहापत्तेः	तत् असंग्रहापत्तेः
segment: कथं वा	कथम् वा
segment: शल्यः---ततस्ततः	शल्यः---ततः ततः
segment: अपराधमनुद्दिश्य	अपराधम् अनुद्दिश्य
segment: ईश्वरप्रयत्नस्यापि	ईश्वरप्रयत्नस्य अपि
segment: प्रावृट्कालाभ्रकल्पं परमलघुतरं	प्रावृट्कालाभ्रकल्पम् परमलघुतरम्
segment: समानाधिकरण्यान्तनिवेशे	समानाधिकरण्या अन्तनिवेशे
segment: विषयविशेषणीभूतमपि	विषयविशेषणीभूतम् अपि
segment: पादपमूलमाश्रित्य	पादपमूलम् आश्रित्य
segment: सङ्कोचयन्निव	सङ्कोचयन् इव
segment: बाधसत्प्रतिपक्षयोराह---यद्वेति	बाधसत्प्रतिपक्षयोः आह---यत् वा इति
segment: अग्रेऽत्यन्ताभावगर्भमुक्तमिति	अग्रे अत्यन्ताभावगर्भम् उक्तम् इति
segment: तं वनौकसम्	तम् वनौकसम्
segment: किंकृतोऽयं समुद्योगः	किंकृतः अयम् समुद्योगः
segment: स्यादिति	स्यात् इति
segment: खल्वस्मि	खलु अस्मि
segment: प्रेक्षितुमागतोऽस्मि]	प्रेक्षितुम् आगतः अस्मि]
segment: श्रीरस्तु	श्रीः अस्तु
segment: काञ्चुकीयः---यदाज्ञापयति	काञ्चुकीयः---यद् आज्ञापयति
segment: चापि	च अपि
segment: तदेव	तत् एव
segment: विन्ध्यमन्दरसारोऽयं	विन्ध्यमन्दरसारः अयम्
segment: श्रीमानेष न	श्रीमान् एषः न
segment: अव्यक्तादिरचिन्त्यात्मा	अव्यक्तादिः अचिन्त्यात्मा
segment: कामपथान्निवृत्तम्	कामपथात् निवृत्तम्
segment: दुःखध्वंसस्तस्य	दुःखध्वंसः तस्य
segment: सकाशं गतवानस्मि	सकाशम् गतवान् अस्मि
segment: नानित्यदोषता	न अनित्यदोषता
segment: स्वैरमासतां भवन्तः	स्वैरम् आसताम् भवन्तः
segment: कालविफलान्यस्त्राणि	कालविफलानि अस्त्राणि
segment: निपतन्त्यसुराङ्गनानाम्	निपतन्ति असुराङ्गनानाम्
segment: द्रुपदराजसुतां रुदन्तीं	द्रुपदराजसुताम् रुदन्तीम्
segment: देवेन्द्रार्तिकरा निवातकवचा	देवेन्द्रार्तिकराः निवातकवचाः
segment: नीरसमेव	नीरसम् एव
segment: शब्द इव	शब्दः इव
segment: कन्दरं वा	कन्दरम् वा
segment: रूपाज्ञानसिद्धिरित्याहुः	रूपाज्ञानसिद्धिः इति आहुः
segment: शाब्दात्मकज्ञानेपरोक्षत्वं	शाब्दात्मकज्ञाने अपरोक्षत्वम्
segment: सुरैरद्य	सुरैः अद्य
segment: ब्रह्मज्ञानात्यन्ताभाव	ब्रह्मज्ञान अत्यन्ताभाव
segment: विषयताप्रत्यासत्त्यैव	विषयताप्रत्यासत्त्या एव
segment: जन्यत्वस्यैवात्र	जन्यत्वस्य एव अत्र
segment: तोरणमाश्रित्य	तोरणम् आश्रित्य
segment: मातुर्वचनेन	मातुः वचनेन
segment: तस्यापि	तस्य अपि
segment: मानुषं रूपमास्थाय	मानुषम् रूपम् आस्थाय
segment: दूतसमुदाचारेणोपस्थितः	दूतसमुदाचारेण उपस्थितः
segment: त्वमपि	त्वम् अपि
segment: ईश्वरविषयकं जीवात्मविषयकं	ईश्वरविषयकम् जीवात्मविषयकम्
segment: हेत्वाभासत्वमित्यर्थः	हेत्वाभासत्वम् इति अर्थः
segment: स्वर्गं गतो	स्वर्गम् गतः
segment: एतद्धर्म्याग्रमारुह्यावलोकयामि	एतत् हर्म्याग्रम् आरुह्य अवलोकयामि
segment: कथं कर्मकाल	कथम् कर्मकालः
segment: सद्धेतावतिव्याप्तिः	सद्धेतौ अतिव्याप्तिः
segment: श्रीधरोस्तु	श्रीधरः अस्तु
segment: यो न	यः न
segment: बाधस्यापि	बाधस्य अपि
segment: कथं न	कथम् न
segment: विवादाध्यासितकर्तृपक्षककार्यत्वहेतुसकर्तृक-त्वानुमानं तत्र	विवादाध्यासितकर्तृपक्षककार्यत्वहेतुसकर्तृकत्व अनुमानम् तत्र
segment: तादृशानुभवस्यातिरिक्ता	तादृश अनुभवस्य अतिरिक्ता
segment: प्रशंसामन्यतः	प्रशंसाम् अन्यतः
segment: छलयितुमक्रमेण	छलयितुम् अक्रमेण
segment: बालेनार्जुनकर्म	बालेन अर्जुनकर्म
segment: कार्यसिद्धिर्भवतु]	कार्यसिद्धिः भवतु]
segment: सुखदुःखाभावान्यतरस्य	सुखदुःखाभाव अन्यतरस्य
segment: किमिति	किम् इति
segment: लक्ष्मणः---यदाज्ञापयत्यार्यः	लक्ष्मणः---यद् आज्ञापयति आर्यः
segment: केचिदज्ञाननिवृत्तिरनिर्वचनीया	केचित् अज्ञाननिवृत्तिः अनिर्वचनीया
segment: मां परिभवति	माम् परिभवति
segment: हेत्वाभास इत्येतावतैव	हेत्वाभासः इति एतावत् एव
segment: ईश्वरानुमानविवेचनप्रस्तावे	ईश्वर अनुमानविवेचनप्रस्तावे
segment: प्रयोजकमिति	प्रयोजकम् इति
segment: प्रहृष्टोऽस्मि	प्रहृष्टः अस्मि
segment: तद् आचरणं	तत् आचरणं
segment: वृषं यथा	वृषम् यथा
segment: कि कंसभृत्यो	किम् कंसभृत्यः
segment: घटादिव्योमादिव्यावृत्तत्वनिश्चयो विद्यमानोऽप्यकिंचित्कर	घटादिव्योमादिव्यावृत्तत्वनिश्चयः विद्यमानः अपि अकिंचित्करः
segment: पार्थानां सुरतुल्यविक्रमवतां	पार्थानाम् सुरतुल्यविक्रमवताम्
segment: पुत्रो माता	पुत्रः माता
segment: व्यर्थत्वान्न	व्यर्थत्वात् न
segment: कश्चिदपरो ब्रूयान्न	कश्चित् अपरः ब्रूयान् न
segment: वासनानाशकत्वाभ्युपगमेतिरिक्त	वासनानाशकत्वाभ्युपगमे अतिरिक्त
segment: वाच्यो भवति	वाच्यः भवति
segment: काञ्चनपरिघमुद्यम्य	काञ्चनपरिघम् उद्यम्य
segment: (कर्णमुपगम्य)	(कर्णम् उपगम्य)
segment: दृष्ट्वास्पदमलभमानौ	दृष्ट्वा आस्पदम् अलभमानौ
segment: किन्त्वन्यो	किन्तु अन्यः
segment: तनुमृदुललिताङ्गं स्त्रीस्वभावोपपन्नं	तनुमृदुललिताङ्गम् स्त्रीस्वभावोपपन्नम्
segment: कुलविग्रहोऽयमस्मांश्च	कुलविग्रहः अयम् अस्मान् च
segment: सन्दिधक्षुर्यथैव	सन्दिधक्षुः यथा एव
segment: मन्त्रशालायां केशवा	मन्त्रशालायाम् केशवाः
segment: कोऽत्र	कः अत्र
segment: वृत्तान्तं ज्ञास्यामि	वृत्तान्तम् ज्ञास्यामि
segment: किमाह	किम् आह
segment: .मतमवलम्ब्यैतदुक्तम्	मतमवलम्ब्य एतत् उक्तम्
segment: भेत्तुं न	भेत्तुम् न
segment: तस्मादुभयं परिहृत्य	तस्मात् उभयम् परिहृत्य
segment: सेवकावित्यात्मानमपदिशतः	सेवकौ इति अत्मानम् अपदिशतः
segment: कस्यचित्कार्य	कस्यचित् कार्य
segment: पुनरहं	पुनः अहं
segment: युक्तं राघवमेवं	युक्तम् राघवम् एवम्
segment: जातिस्तेजस्त्वादिना	जातिः तेजस्त्वादिना
segment: वयमपि	वयम् अपि
segment: भीष्मादयो निर्जिताः	भीष्मादयः निर्जिताः
segment: निर्जितविष्टपत्रयभुजो निर्जीयते	निर्जितविष्टपत्रयभुजः निर्जीयते
segment: शीघ्रं निवेद्यतां	शीघ्रम् निवेद्यताम्
segment: चेन्न	चेत् न
segment: तत्त्वज्ञानं प्रत्यपि	तत्त्वज्ञानम् प्रत्यपि
segment: अयं केशवः	अयम् केशवः
segment: राजलक्ष्मीमनुत्तमाम्	राजलक्ष्मीम् अनुत्तमाम्
segment: .सत्प्रतिपक्षरूपतयैव-ख	.सत्प्रतिपक्षरूपतया एव-ख
segment: यस्तर्पितः	यः तर्पितः
segment: लक्ष्मणः---यदाज्ञापयत्यार्यः	लक्ष्मणः---यद् आज्ञापयति आर्यः
segment: दिव्यास्त्रैस्त्रिदशगणा भयाभिभूता	दिव्यास्त्रैः त्रिदशगणाः भया अभिभूताः
segment: लक्षणमङ्गीक्रियते	लक्षणम् अङ्गीक्रियते
segment: निर्जघानेति	निर्जघान इति
segment: साम्प्रतं धैर्यं	साम्प्रतम् धैर्यम्
segment: वागुराच्छन्नमाश्रित्य	वागुराच्छन्नम् आश्रित्य
segment: स्वतो दूषणत्वमिति	स्वतः दूषणत्वम् इति
segment: साधनं राजलक्ष्म्याः	साधनम् राजलक्ष्म्याः
segment: नीलः---यदाज्ञापयति	नीलः---यद् आज्ञापयति
segment: हेतुतायां व्यभिचार	हेतुतायाम् व्यभिचार
segment: व्यतिरेकानुविधानबलादपि	व्यतिरेक अनुविधानबलात् अपि
segment: द्रष्टकामो रणातिथिः	द्रष्टकामः रणातिथिः
segment: युक्त्यैव	युक्त्या एव
segment: साध्यतदभावोत्थापकतयेति	साध्यतदभावोत्थापकतया इति
segment: सत्प्रतिपक्षसंभवान्नोपदर्शितानुमानज्जन्यमात्रे	सत्प्रतिपक्षसंभवात् न उपदर्शितानुमानत् जन्यमात्रे
