input	output
tag: नाट्यम् सर्वेषाम् कलानाम् श्रेष्ठम् अस्ति । तत् च सर्वेषाम् शास्त्राणाम् मूलम् अस्ति । तस्य च ज्ञाने सर्वे कलावन्तः भवन्ति । तस्य च अज्ञाने सर्वे अकलावन्तः भवन्ति ।	नाट्यम्|NOUN सर्वेषाम्|PRON कलानाम्|NOUN श्रेष्ठम्|ADJ अस्ति|VERB ।|SYM तत्|PRON च|CONJ सर्वेषाम्|PRON शास्त्राणाम्|NOUN मूलम्|NOUN अस्ति|VERB ।|SYM तस्य|PRON च|CONJ ज्ञाने|NOUN सर्वे|PRON कलावन्तः|ADJ भवन्ति|VERB ।|SYM तस्य|PRON च|CONJ अज्ञाने|NOUN सर्वे|PRON अकलावन्तः|ADJ भवन्ति|VERB ।|SYM
tag: शृगालः च अन्नम् निरीक्षते ।	शृगालः|NOUN च|CONJ अन्नम्|NOUN निरीक्षते|VERB ।|SYM
tag: पाणिनिः गंगा ताडयति ।	पाणिनिः|NOUN गंगा|NOUN ताडयति|VERB ।|SYM
tag: अन्नम् सेवायाम् युध्यति ।	अन्नम्|NOUN सेवायाम्|NOUN युध्यति|VERB ।|SYM
tag: तानि पठति ।	तानि|PRON पठति|VERB ।|SYM
tag: इयम् सिंहः प्रादुरासीत् ।	इयम्|PRON सिंहः|NOUN प्रादुरासीत्|VERB ।|SYM
tag: धीमान् उत्तमौजाः प्रोक्तः ।	धीमान्|ADJ उत्तमौजाः|NOUN प्रोक्तः|VERB ।|SYM
tag: जलम् समीक्षते ।	जलम्|NOUN समीक्षते|VERB ।|SYM
tag: सौभद्रः वाजश्रवाः दध्मौ ।	सौभद्रः|NOUN वाजश्रवाः|NOUN दध्मौ|VERB ।|SYM
tag: फलम् उपदिशति ।	फलम्|NOUN उपदिशति|VERB ।|SYM
tag: सम्पन्नः अस्थि जानाति ।	सम्पन्नः|ADJ अस्थि|NOUN जानाति|VERB ।|SYM
tag: चमूम् युद्धविशारदाः भुङ्क्ते ।	चमूम्|NOUN युद्धविशारदाः|ADJ भुङ्क्ते|VERB ।|SYM
tag: धर्मः पश्यति ।	धर्मः|NOUN पश्यति|VERB ।|SYM
tag: आचार्यम् भाषते ।	आचार्यम्|NOUN भाषते|VERB ।|SYM
tag: अदः अभवत् ।	अदः|PRON अभवत्|VERB ।|SYM
tag: ततः श्वेतैः हयैः युक्ते महति स्यन्दने स्थितौ । माधवः पाण्डवः च एव दिव्यौ शङ्खौ प्रदध्मतुः ॥	ततः|ADV श्वेतैः|ADJ हयैः|NOUN युक्ते|ADJ महति|ADJ स्यन्दने|NOUN स्थितौ|ADJ ।|SYM माधवः|NOUN पाण्डवः|NOUN च|CONJ एव|PART दिव्यौ|ADJ शङ्खौ|NOUN प्रदध्मतुः|VERB ॥|SYM
tag: हर्षम् दिदृक्षते ।	हर्षम्|NOUN दिदृक्षते|VERB ।|SYM
tag: अर्जुनः कार्यान्तरे संभवति ।	अर्जुनः|NOUN कार्यान्तरे|NOUN संभवति|VERB ।|SYM
tag: आचार्यम् जल्पति ।	आचार्यम्|NOUN जल्पति|VERB ।|SYM
tag: कालः उष्णः स्थापयति ।	कालः|NOUN उष्णः|ADJ स्थापयति|VERB ।|SYM
tag: भगवान् जानाति ।	भगवान्|NOUN जानाति|VERB ।|SYM
tag: घोड़ा स्थापयति ।	घोड़ा|NOUN स्थापयति|VERB ।|SYM
tag: कुरुक्षेत्रे जल्पति ।	कुरुक्षेत्रे|NOUN जल्पति|VERB ।|SYM
tag: नरः च कन्याकुब्जा मारयति ।	नरः|NOUN च|CONJ कन्याकुब्जा|NOUN मारयति|VERB ।|SYM
tag: किमपि अभ्यहन्यन्त ।	किमपि|PRON अभ्यहन्यन्त|VERB ।|SYM
tag: धर्मः यज्ञः स्थापयति ।	धर्मः|NOUN यज्ञः|NOUN स्थापयति|VERB ।|SYM
tag: विराटः उपनिषत् दर्शयति ।	विराटः|NOUN उपनिषत्|NOUN दर्शयति|VERB ।|SYM
tag: कुर्ता सूचयति ।	कुर्ता|NOUN सूचयति|VERB ।|SYM
tag: उपनिषत् समानः स्मरति ।	उपनिषत्|NOUN समानः|ADJ स्मरति|VERB ।|SYM
tag: वेतालः निबोध ।	वेतालः|NOUN निबोध|VERB ।|SYM
tag: सुन्दरः कार्यालयः शक्नोति ।	सुन्दरः|ADJ कार्यालयः|NOUN शक्नोति|VERB ।|SYM
tag: तया किसानः भाषते ।	तया|PRON किसानः|NOUN भाषते|VERB ।|SYM
tag: सूर्यः कर्माणि अवलोकयति ।	सूर्यः|NOUN कर्माणि|NOUN अवलोकयति|VERB ।|SYM
tag: पितरौ आशा गच्छति ।	पितरौ|NOUN आशा|NOUN गच्छति|VERB ।|SYM
tag: युधि खेलामः ।	युधि|NOUN खेलामः|VERB ।|SYM
tag: एताः विमृशति ।	एताः|PRON विमृशति|VERB ।|SYM
tag: नारायणं नमस्कृत्य नरं चैव नारायणं देवं । व्यासं च सुतं शुकं च प्रति । तस्य पुत्रः शुकः प्रोक्तः । स च पित्रे वेदान् श्रावयामास ।	नारायणं|NOUN नमस्कृत्य|VERB नरं|NOUN चैव|PART नारायणं|NOUN देवं|NOUN ।|SYM व्यासं|NOUN च|CONJ सुतं|NOUN शुकं|NOUN च|CONJ प्रति|ADP ।|SYM तस्य|PRON पुत्रः|NOUN शुकः|NOUN प्रोक्तः|VERB ।|SYM स|PRON च|CONJ पित्रे|NOUN वेदान्|NOUN श्रावयामास|VERB ।|SYM
tag: मार्गः श्रुत्वा ।	मार्गः|NOUN श्रुत्वा|VERB ।|SYM
tag: कुशलः युधामन्युः आसीत् ।	कुशलः|ADJ युधामन्युः|NOUN आसीत्|VERB ।|SYM
tag: शुकं स्थापयति ।	शुकं|NOUN स्थापयति|VERB ।|SYM
tag: यूयम् चमूम् आसीत् ।	यूयम्|PRON चमूम्|NOUN आसीत्|VERB ।|SYM
tag: उशन् ह वै वाजश्रवसः पुत्रः । स च पितुः शिक्षायाम् निरतः आसीत् । तस्य च पिता वाजश्रवाः आसीत् । स च सर्वेषाम् ऋषीणाम् श्रेष्ठः आसीत् ।	उशन्|PRON ह|PART वै|PART वाजश्रवसः|NOUN पुत्रः|NOUN ।|SYM स|PRON च|CONJ पितुः|NOUN शिक्षायाम्|NOUN निरतः|ADJ आसीत्|VERB ।|SYM तस्य|PRON च|CONJ पिता|NOUN वाजश्रवाः|NOUN आसीत्|VERB ।|SYM स|PRON च|CONJ सर्वेषाम्|PRON ऋषीणाम्|NOUN श्रेष्ठः|ADJ आसीत्|VERB ।|SYM
tag: अन्नम् वसति ।	अन्नम्|NOUN वसति|VERB ।|SYM
tag: राज्ञः माता घोषयति ।	राज्ञः|NOUN माता|NOUN घोषयति|VERB ।|SYM
tag: तत् अभवत् ।	तत्|PRON अभवत्|VERB ।|SYM
tag: अस्थि ब्रवीमि ।	अस्थि|NOUN ब्रवीमि|VERB ।|SYM
tag: वयम् निवेदयति ।	वयम्|PRON निवेदयति|VERB ।|SYM
tag: अन्यायः च कविर्मुनिः विमृशति ।	अन्यायः|NOUN च|CONJ कविर्मुनिः|NOUN विमृशति|VERB ।|SYM
tag: वीर्यवान् सञ्जय गायति ।	वीर्यवान्|ADJ सञ्जय|NOUN गायति|VERB ।|SYM
tag: वेगवान् पाण्डवाश्च भवतु ।	वेगवान्|ADJ पाण्डवाश्च|NOUN भवतु|VERB ।|SYM
tag: शङ्खम् च कुर्ता अवलोकयति ।	शङ्खम्|NOUN च|CONJ कुर्ता|NOUN अवलोकयति|VERB ।|SYM
tag: सेवायाम् पिता पिबति ।	सेवायाम्|NOUN पिता|NOUN पिबति|VERB ।|SYM
tag: पितुः भविष्यति ।	पितुः|NOUN भविष्यति|VERB ।|SYM
tag: आनन्दः च शैब्यः आसीत् ।	आनन्दः|NOUN च|CONJ शैब्यः|NOUN आसीत्|VERB ।|SYM
tag: व्यूढाम् रूपम् भविष्यति ।	व्यूढाम्|ADJ रूपम्|NOUN भविष्यति|VERB ।|SYM
tag: प्रौढः कुरुवृद्धः ताडयति ।	प्रौढः|ADJ कुरुवृद्धः|NOUN ताडयति|VERB ।|SYM
tag: अपर्याप्तम् माता संभवति ।	अपर्याप्तम्|ADJ माता|NOUN संभवति|VERB ।|SYM
tag: ब्रह्मा अस्ति ।	ब्रह्मा|NOUN अस्ति|VERB ।|SYM
tag: वै राज्यम् पश्यति ।	वै|ADV राज्यम्|NOUN पश्यति|VERB ।|SYM
tag: त्वरितः रामः जगाद ।	त्वरितः|ADJ रामः|NOUN जगाद|VERB ।|SYM
tag: सहसा द्रुपदपुत्रेण संभवति ।	सहसा|ADV द्रुपदपुत्रेण|NOUN संभवति|VERB ।|SYM
tag: सौभद्रः धृतराष्ट्र सन्ति ।	सौभद्रः|NOUN धृतराष्ट्र|NOUN सन्ति|VERB ।|SYM
tag: एतस्याः मनुष्यः मन्यते ।	एतस्याः|PRON मनुष्यः|NOUN मन्यते|VERB ।|SYM
tag: असत्यम् च काशी करोति ।	असत्यम्|NOUN च|CONJ काशी|NOUN करोति|VERB ।|SYM
tag: यदा हनुमान् वसति ।	यदा|ADV हनुमान्|NOUN वसति|VERB ।|SYM
tag: ग्रामः राज्ञाम् अभिरक्षन्तु ।	ग्रामः|NOUN राज्ञाम्|NOUN अभिरक्षन्तु|VERB ।|SYM
tag: द्वारम् सर्वः कुर्वत ।	द्वारम्|NOUN सर्वः|ADJ कुर्वत|VERB ।|SYM
tag: फलम् स्मरति ।	फलम्|NOUN स्मरति|VERB ।|SYM
tag: अस्थि रक्षायाम् जल्पति ।	अस्थि|NOUN रक्षायाम्|NOUN जल्पति|VERB ।|SYM
tag: किमपि काशी भविष्यति ।	किमपि|PRON काशी|NOUN भविष्यति|VERB ।|SYM
tag: क्षेत्रम् च पितृ करोति ।	क्षेत्रम्|NOUN च|CONJ पितृ|NOUN करोति|VERB ।|SYM
tag: सदा कालवित् विचारयति ।	सदा|ADV कालवित्|NOUN विचारयति|VERB ।|SYM
tag: एकः गंगा वदति ।	एकः|ADJ गंगा|NOUN वदति|VERB ।|SYM
tag: तया निवेदयति ।	तया|PRON निवेदयति|VERB ।|SYM
tag: एते पश्यति ।	एते|PRON पश्यति|VERB ।|SYM
tag: राजा सर्वेषाम् प्रजानाम् रक्षकः भवति । स च सर्वेषाम् शास्त्राणाम् ज्ञाता भवति । तस्य च राज्ये सर्वे सुखिनः भवन्ति । तस्य च राज्ये सर्वे धनिनः भवन्ति ।	राजा|NOUN सर्वेषाम्|PRON प्रजानाम्|NOUN रक्षकः|NOUN भवति|VERB ।|SYM स|PRON च|CONJ सर्वेषाम्|PRON शास्त्राणाम्|NOUN ज्ञाता|ADJ भवति|VERB ।|SYM तस्य|PRON च|CONJ राज्ये|NOUN सर्वे|PRON सुखिनः|ADJ भवन्ति|VERB ।|SYM तस्य|PRON च|CONJ राज्ये|NOUN सर्वे|PRON धनिनः|ADJ भवन्ति|VERB ।|SYM
tag: विद्यालयः भीष्मम् रक्ष्यते ।	विद्यालयः|NOUN भीष्मम्|NOUN रक्ष्यते|VERB ।|SYM
tag: धीमता अरावली स्थापयति ।	धीमता|ADJ अरावली|NOUN स्थापयति|VERB ।|SYM
tag: व्यूढम् महेशः श्रुत्वा ।	व्यूढम्|ADJ महेशः|NOUN श्रुत्वा|VERB ।|SYM
tag: कार्यान्तरे संभवति ।	कार्यान्तरे|NOUN संभवति|VERB ।|SYM
tag: विराटः शिक्षयति ।	विराटः|NOUN शिक्षयति|VERB ।|SYM
tag: द्रौपदेयाः भुङ्क्ते ।	द्रौपदेयाः|NOUN भुङ्क्ते|VERB ।|SYM
tag: अन्यत्र औषधम् प्रहरति ।	अन्यत्र|ADV औषधम्|NOUN प्रहरति|VERB ।|SYM
tag: शृगालः कायरः प्रोक्तः ।	शृगालः|NOUN कायरः|ADJ प्रोक्तः|VERB ।|SYM
tag: एतस्य कार्यालयः शक्नोति ।	एतस्य|PRON कार्यालयः|NOUN शक्नोति|VERB ।|SYM
tag: यः राज्ञः ब्रवीमि ।	यः|PRON राज्ञः|NOUN ब्रवीमि|VERB ।|SYM
tag: रक्षायाम् अब्रवीत् ।	रक्षायाम्|NOUN अब्रवीत्|VERB ।|SYM
tag: सञ्जय कुर्ता दर्शयति ।	सञ्जय|NOUN कुर्ता|NOUN दर्शयति|VERB ।|SYM
tag: शिष्यः भवति ।	शिष्यः|NOUN भवति|VERB ।|SYM
tag: चमूम् अग्निः प्रकाशयति ।	चमूम्|NOUN अग्निः|NOUN प्रकाशयति|VERB ।|SYM
tag: उष्णः शास्त्राणाम् जगाद ।	उष्णः|ADJ शास्त्राणाम्|NOUN जगाद|VERB ।|SYM
tag: आचार्यम् अतिशीतः निरीक्षते ।	आचार्यम्|NOUN अतिशीतः|ADJ निरीक्षते|VERB ।|SYM
tag: नहि गंगा शक्नोति ।	नहि|ADV गंगा|NOUN शक्नोति|VERB ।|SYM
tag: मया विमृशति ।	मया|PRON विमृशति|VERB ।|SYM
tag: विक्रमादित्यः आचारात् ताडयति ।	विक्रमादित्यः|NOUN आचारात्|NOUN ताडयति|VERB ।|SYM
tag: वृक्षः सर्वेषु सूचयति ।	वृक्षः|NOUN सर्वेषु|ADJ सूचयति|VERB ।|SYM
tag: शीतः फलम् भविष्यति ।	शीतः|ADJ फलम्|NOUN भविष्यति|VERB ।|SYM
tag: द्रुपदपुत्रेण कन्याकुब्जा कुर्वत ।	द्रुपदपुत्रेण|NOUN कन्याकुब्जा|NOUN कुर्वत|VERB ।|SYM
tag: गरमः पुत्रः भवतु ।	गरमः|ADJ पुत्रः|NOUN भवतु|VERB ।|SYM
tag: धृतराष्ट्र शक्नोति ।	धृतराष्ट्र|NOUN शक्नोति|VERB ।|SYM
tag: एतस्य अवलोकयति ।	एतस्य|PRON अवलोकयति|VERB ।|SYM
tag: वचनम् च हृदयम् शिक्षयति ।	वचनम्|NOUN च|CONJ हृदयम्|NOUN शिक्षयति|VERB ।|SYM
tag: कल्पः च वाक्यम् कुर्वत ।	कल्पः|NOUN च|CONJ वाक्यम्|NOUN कुर्वत|VERB ।|SYM
tag: घोड़ा दर्शयति ।	घोड़ा|NOUN दर्शयति|VERB ।|SYM
tag: अशक्तः पणवानकगोमुखाः ब्रवीमि ।	अशक्तः|ADJ पणवानकगोमुखाः|NOUN ब्रवीमि|VERB ।|SYM
tag: सर्वथा ऋतुः खेलामः ।	सर्वथा|ADV ऋतुः|NOUN खेलामः|VERB ।|SYM
tag: महेशः सत्यम् प्रोक्तः ।	महेशः|NOUN सत्यम्|NOUN प्रोक्तः|VERB ।|SYM
tag: व्यापारी पठति ।	व्यापारी|NOUN पठति|VERB ।|SYM
tag: पितामहः च जलम् श्रुत्वा ।	पितामहः|NOUN च|CONJ जलम्|NOUN श्रुत्वा|VERB ।|SYM
tag: एतस्य निरीक्षते ।	एतस्य|PRON निरीक्षते|VERB ।|SYM
tag: उशन् बोधयति ।	उशन्|PRON बोधयति|VERB ।|SYM
tag: रक्षकाः सुतं दध्मौ ।	रक्षकाः|NOUN सुतं|NOUN दध्मौ|VERB ।|SYM
tag: श्रेष्ठः कपिशः निन्दति ।	श्रेष्ठः|ADJ कपिशः|NOUN निन्दति|VERB ।|SYM
tag: शृगालः निबोध ।	शृगालः|NOUN निबोध|VERB ।|SYM
tag: अस्माकम् मित्रम् भुङ्क्ते ।	अस्माकम्|PRON मित्रम्|NOUN भुङ्क्ते|VERB ।|SYM
tag: कावेरी शक्तिमान् उवाच ।	कावेरी|NOUN शक्तिमान्|ADJ उवाच|VERB ।|SYM
tag: युधि भवति ।	युधि|NOUN भवति|VERB ।|SYM
tag: कामः च अर्थः घोषयति ।	कामः|NOUN च|CONJ अर्थः|NOUN घोषयति|VERB ।|SYM
tag: चन्द्रः समवेता द्वेष्टि ।	चन्द्रः|NOUN समवेता|ADJ द्वेष्टि|VERB ।|SYM
tag: आशा धनी ददति ।	आशा|NOUN धनी|ADJ ददति|VERB ।|SYM
tag: अन्यत्र ब्रह्मा मन्यते ।	अन्यत्र|ADV ब्रह्मा|NOUN मन्यते|VERB ।|SYM
tag: क्षिप्रः द्रौपदेयाः द्वेष्टि ।	क्षिप्रः|ADJ द्रौपदेयाः|NOUN द्वेष्टि|VERB ।|SYM
tag: तेन चिन्तयति ।	तेन|PRON चिन्तयति|VERB ।|SYM
tag: इयम् भाषते ।	इयम्|PRON भाषते|VERB ।|SYM
tag: पाण्डुपुत्राणाम् व्याख्याति ।	पाण्डुपुत्राणाम्|NOUN व्याख्याति|VERB ।|SYM
tag: त्वया संभवति ।	त्वया|PRON संभवति|VERB ।|SYM
tag: प्रतापवान् शास्त्राणाम् ब्रवीमि ।	प्रतापवान्|ADJ शास्त्राणाम्|NOUN ब्रवीमि|VERB ।|SYM
tag: ब्रह्मा विष्णुः महेशः च एते त्रयः देवाः । ते च सर्वेषाम् जीवानाम् रक्षकाः सन्ति । तेषाम् च मध्ये विष्णुः सर्वेषाम् श्रेष्ठः अस्ति । स च सर्वेषाम् रक्षायाम् निरतः अस्ति ।	ब्रह्मा|NOUN विष्णुः|NOUN महेशः|NOUN च|CONJ एते|PRON त्रयः|ADJ देवाः|NOUN ।|SYM ते|PRON च|CONJ सर्वेषाम्|PRON जीवानाम्|NOUN रक्षकाः|NOUN सन्ति|VERB ।|SYM तेषाम्|PRON च|CONJ मध्ये|ADP विष्णुः|NOUN सर्वेषाम्|PRON श्रेष्ठः|ADJ अस्ति|VERB ।|SYM स|PRON च|CONJ सर्वेषाम्|PRON रक्षायाम्|NOUN निरतः|ADJ अस्ति|VERB ।|SYM
tag: पुरुजित् च आपत्सु समीक्षते ।	पुरुजित्|NOUN च|CONJ आपत्सु|NOUN समीक्षते|VERB ।|SYM
tag: धर्मः अत्यधिकः संभवति ।	धर्मः|NOUN अत्यधिकः|ADJ संभवति|VERB ।|SYM
tag: शीतः ब्रह्मा जल्पति ।	शीतः|ADJ ब्रह्मा|NOUN जल्पति|VERB ।|SYM
tag: वाजश्रवाः च हृदयम् मन्यते ।	वाजश्रवाः|NOUN च|CONJ हृदयम्|NOUN मन्यते|VERB ।|SYM
tag: युधामन्युः भुङ्क्ते ।	युधामन्युः|NOUN भुङ्क्ते|VERB ।|SYM
tag: द्रौपदेयाः राज्ञाम् प्रादुरासीत् ।	द्रौपदेयाः|NOUN राज्ञाम्|NOUN प्रादुरासीत्|VERB ।|SYM
tag: बृहत् नायकाः सूचयति ।	बृहत्|ADJ नायकाः|NOUN सूचयति|VERB ।|SYM
tag: सूर्यः शास्त्राणाम् श्रुत्वा ।	सूर्यः|NOUN शास्त्राणाम्|NOUN श्रुत्वा|VERB ।|SYM
tag: अद्य अयोध्या उपदिशति ।	अद्य|ADV अयोध्या|NOUN उपदिशति|VERB ।|SYM
tag: सत्त्वम् अवलोकयति ।	सत्त्वम्|NOUN अवलोकयति|VERB ।|SYM
tag: सर्वेषु क्षेत्रम् भुङ्क्ते ।	सर्वेषु|ADJ क्षेत्रम्|NOUN भुङ्क्ते|VERB ।|SYM
tag: भीष्मम् क्षेत्रम् रक्ष्यते ।	भीष्मम्|NOUN क्षेत्रम्|NOUN रक्ष्यते|VERB ।|SYM
tag: देवः कायरः करोति ।	देवः|NOUN कायरः|ADJ करोति|VERB ।|SYM
tag: शुकं महतीम् समीक्षते ।	शुकं|NOUN महतीम्|ADJ समीक्षते|VERB ।|SYM
tag: तया द्वेष्टि ।	तया|PRON द्वेष्टि|VERB ।|SYM
tag: एकः अरावली प्रादुरासीत् ।	एकः|ADJ अरावली|NOUN प्रादुरासीत्|VERB ।|SYM
tag: भीमाभिरक्षितम् आचारात् अभवत् ।	भीमाभिरक्षितम्|ADJ आचारात्|NOUN अभवत्|VERB ।|SYM
tag: देवं सर्वेषु प्रोक्तः ।	देवं|NOUN सर्वेषु|ADJ प्रोक्तः|VERB ।|SYM
tag: कर्णः समीक्षते ।	कर्णः|NOUN समीक्षते|VERB ।|SYM
tag: पशूनाम् कर्म प्रहरति ।	पशूनाम्|NOUN कर्म|NOUN प्रहरति|VERB ।|SYM
tag: द्वारम् जानाति ।	द्वारम्|NOUN जानाति|VERB ।|SYM
tag: कापि विचारयति ।	कापि|PRON विचारयति|VERB ।|SYM
tag: लोकः बोधयति ।	लोकः|NOUN बोधयति|VERB ।|SYM
tag: मामकाः कुरुवृद्धः विनद्य ।	मामकाः|ADJ कुरुवृद्धः|NOUN विनद्य|VERB ।|SYM
tag: ते दर्शयति ।	ते|PRON दर्शयति|VERB ।|SYM
tag: कामः दृश्यते ।	कामः|NOUN दृश्यते|VERB ।|SYM
tag: सर्वः मूलम् मारयति ।	सर्वः|ADJ मूलम्|NOUN मारयति|VERB ।|SYM
tag: उशन् हर्षम् पश्यति ।	उशन्|PRON हर्षम्|NOUN पश्यति|VERB ।|SYM
tag: अर्जुन भीष्मम् सन्ति ।	अर्जुन|NOUN भीष्मम्|NOUN सन्ति|VERB ।|SYM
tag: रक्षायाम् च ग्रामः करोति ।	रक्षायाम्|NOUN च|CONJ ग्रामः|NOUN करोति|VERB ।|SYM
tag: एतानि कुर्ता विचारयति ।	एतानि|PRON कुर्ता|NOUN विचारयति|VERB ।|SYM
tag: तेन आसीत् ।	तेन|PRON आसीत्|VERB ।|SYM
tag: जलम् च पितुः अभ्यहन्यन्त ।	जलम्|NOUN च|CONJ पितुः|NOUN अभ्यहन्यन्त|VERB ।|SYM
tag: ततः शङ्खाः च भेर्यः च पणवानकगोमुखाः । सहसा एव अभ्यहन्यन्त सः शब्दः तुमुलः अभवत् ॥	ततः|ADV शङ्खाः|NOUN च|CONJ भेर्यः|NOUN च|CONJ पणवानकगोमुखाः|NOUN ।|SYM सहसा|ADV एव|PART अभ्यहन्यन्त|VERB सः|PRON शब्दः|NOUN तुमुलः|ADJ अभवत्|VERB ॥|SYM
tag: देवं पुस्तकम् पश्यति ।	देवं|NOUN पुस्तकम्|NOUN पश्यति|VERB ।|SYM
tag: अत्र शास्त्राणाम् शिक्षयति ।	अत्र|ADV शास्त्राणाम्|NOUN शिक्षयति|VERB ।|SYM
tag: मन्त्री जल्पति ।	मन्त्री|NOUN जल्पति|VERB ।|SYM
tag: सभा भेर्यः दध्मौ ।	सभा|NOUN भेर्यः|NOUN दध्मौ|VERB ।|SYM
tag: शब्दः च सिंहनादम् जल्पति ।	शब्दः|NOUN च|CONJ सिंहनादम्|NOUN जल्पति|VERB ।|SYM
tag: शब्दः भीष्माभिरक्षितम् निवेदयति ।	शब्दः|NOUN भीष्माभिरक्षितम्|ADJ निवेदयति|VERB ।|SYM
tag: शिष्येण संगच्छति ।	शिष्येण|NOUN संगच्छति|VERB ।|SYM
tag: कुरुक्षेत्रे एकः बोधयति ।	कुरुक्षेत्रे|NOUN एकः|ADJ बोधयति|VERB ।|SYM
tag: यज्ञः अस्थि द्वेष्टि ।	यज्ञः|NOUN अस्थि|NOUN द्वेष्टि|VERB ।|SYM
tag: मूर्खः राज्यम् दर्शयति ।	मूर्खः|ADJ राज्यम्|NOUN दर्शयति|VERB ।|SYM
tag: भीष्माभिरक्षितम् पशूनाम् शिक्षयति ।	भीष्माभिरक्षितम्|ADJ पशूनाम्|NOUN शिक्षयति|VERB ।|SYM
tag: धर्मः सर्वेषाम् मूलम् अस्ति । स च सर्वेषाम् शास्त्राणाम् श्रेष्ठः अस्ति । तस्य च पालने सर्वे सुखिनः भवन्ति । तस्य च अपालने सर्वे दुःखिनः भवन्ति ।	धर्मः|NOUN सर्वेषाम्|PRON मूलम्|NOUN अस्ति|VERB ।|SYM स|PRON च|CONJ सर्वेषाम्|PRON शास्त्राणाम्|NOUN श्रेष्ठः|ADJ अस्ति|VERB ।|SYM तस्य|PRON च|CONJ पालने|NOUN सर्वे|PRON सुखिनः|ADJ भवन्ति|VERB ।|SYM तस्य|PRON च|CONJ अपालने|NOUN सर्वे|PRON दुःखिनः|ADJ भवन्ति|VERB ।|SYM
tag: रूपम् द्वारम् निवेदयति ।	रूपम्|NOUN द्वारम्|NOUN निवेदयति|VERB ।|SYM
tag: वनम् कुशलः श्रावयामास ।	वनम्|NOUN कुशलः|ADJ श्रावयामास|VERB ।|SYM
tag: तया वदति ।	तया|PRON वदति|VERB ।|SYM
tag: यूयम् शिक्षयति ।	यूयम्|PRON शिक्षयति|VERB ।|SYM
tag: राज्यम् मन्त्री रक्ष्यते ।	राज्यम्|NOUN मन्त्री|NOUN रक्ष्यते|VERB ।|SYM
tag: कन्याकुब्जा च स्त्री प्रोक्तः ।	कन्याकुब्जा|NOUN च|CONJ स्त्री|NOUN प्रोक्तः|VERB ।|SYM
tag: अधमः रक्षकाः स्थापयति ।	अधमः|ADJ रक्षकाः|NOUN स्थापयति|VERB ।|SYM
tag: चमूम् च द्रुपदः मारयति ।	चमूम्|NOUN च|CONJ द्रुपदः|NOUN मारयति|VERB ।|SYM
tag: ब्रह्मन् महेशः ब्रवीमि ।	ब्रह्मन्|NOUN महेशः|NOUN ब्रवीमि|VERB ।|SYM
tag: शङ्खम् भुङ्क्ते ।	शङ्खम्|NOUN भुङ्क्ते|VERB ।|SYM
tag: भवान् अन्यायः संगच्छति ।	भवान्|PRON अन्यायः|NOUN संगच्छति|VERB ।|SYM
tag: महेशः राजा वदति ।	महेशः|NOUN राजा|NOUN वदति|VERB ।|SYM
tag: नहि पुत्रः स्थापयति ।	नहि|ADV पुत्रः|NOUN स्थापयति|VERB ।|SYM
tag: भगवान् कमरबन्दः गायति ।	भगवान्|NOUN कमरबन्दः|NOUN गायति|VERB ।|SYM
tag: अस्माकम् बभूव ।	अस्माकम्|PRON बभूव|VERB ।|SYM
tag: अज्ञः सत्त्वम् पश्यति ।	अज्ञः|ADJ सत्त्वम्|NOUN पश्यति|VERB ।|SYM
tag: अधीरः क्षेत्रम् विनद्य ।	अधीरः|ADJ क्षेत्रम्|NOUN विनद्य|VERB ।|SYM
tag: अवश्यम् एकम् भवति ।	अवश्यम्|ADV एकम्|NOUN भवति|VERB ।|SYM
tag: अपर्याप्तम् भूमिः दध्मौ ।	अपर्याप्तम्|ADJ भूमिः|NOUN दध्मौ|VERB ।|SYM
tag: इन्जिनियरः चपलः सूचयति ।	इन्जिनियरः|NOUN चपलः|ADJ सूचयति|VERB ।|SYM
tag: यज्ञः शङ्खम् जगाद ।	यज्ञः|NOUN शङ्खम्|NOUN जगाद|VERB ।|SYM
tag: यथा अयोध्या नमस्कृत्य ।	यथा|ADV अयोध्या|NOUN नमस्कृत्य|VERB ।|SYM
tag: कार्यान्तरे ज्येष्ठः भवतु ।	कार्यान्तरे|NOUN ज्येष्ठः|ADJ भवतु|VERB ।|SYM
tag: स्त्री च वेतालः वसति ।	स्त्री|NOUN च|CONJ वेतालः|NOUN वसति|VERB ।|SYM
tag: नरं यज्ञः दर्शयति ।	नरं|NOUN यज्ञः|NOUN दर्शयति|VERB ।|SYM
tag: चतुरः बालकः करोति ।	चतुरः|ADJ बालकः|NOUN करोति|VERB ।|SYM
tag: पितृ च धर्मक्षेत्रे ब्रवीमि ।	पितृ|NOUN च|CONJ धर्मक्षेत्रे|NOUN ब्रवीमि|VERB ।|SYM
tag: चमूम् कामयते ।	चमूम्|NOUN कामयते|VERB ।|SYM
tag: ऋषिकेशः अकुशलः अस्ति ।	ऋषिकेशः|NOUN अकुशलः|ADJ अस्ति|VERB ।|SYM
tag: वचनम् च श्रेयः रक्ष्यते ।	वचनम्|NOUN च|CONJ श्रेयः|NOUN रक्ष्यते|VERB ।|SYM
tag: एताः अशोकः चिन्तयति ।	एताः|PRON अशोकः|NOUN चिन्तयति|VERB ।|SYM
tag: दीर्घः व्याघ्रः आसीत् ।	दीर्घः|ADJ व्याघ्रः|NOUN आसीत्|VERB ।|SYM
